Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
not, nott
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
npm
aws
API
SSM
QA
URL
PR
TTCA
TTCM
URL
E2E
ID, I D
app
UUID
UI
refactor
ping
uncomment
dev
user, use your
user, use her
lambda
MB, megabyte
KB, kilobyte
campus id, canidae
user service, use your service
user service, use or service
PC,
jsdoc,
HIPPA, hippa
Nate, nate
username, user name
user id, userid
snippet, snip it
webhook, web hook
troubleshooting, trouble shooting
refactor, ref factor
maybe, may be
routes, roots
JIRA, jeer ah
JIRA, jura
backlog, back log
custom data, custom dita
Quire, choir
quire
which, witch
sql, sequel
wildcard, wild card
cleanup, clean up
tomorrow, to morrow
allergy, orgy
kercher
prepend
prepended
impl, ample
data, dita
null, no value
NullPointerException, null pointer exception
boolean, bullion
back and forth, backend forth
frontend
backend
IntelliJ, idea editor
end, ender
JUnit, jay unit
JUnit, ja unit
JUnit, jay unit
JUnit 4, JUnit for
JUnit 4, JUnit four
JUnit 5, JUnit five
read, reed
read, reid
to, ta
feature branch, future branch
J, ja
debug, de bug
gradle, gradle
gradle, cradle
site entity, sight entity
one assertion per test, one assertion protest
protein, protein routine
bitbucket,bit bucket
whitespace, white space
throw an exception, through an exception
lowercase, lower case
backend, back end
backend, back and
etc.,et cetera
non-empty, non empty
webhook, web book
webapp, web app
core-aws, core aws
CloudWatch, cloud watch
CDK Stack, C D K stack
Jon,quick john
e2e,end to end
e2e,en to en
wrapper, rapper
touchtown,touchdown
touchtown,touchdown town
Jon Theis,john tice
John Golden,john golden
Jeff Stonebrook,jeff stone brook
point click care,point click care
install, in stall
Jorge,hor hay
worxhub,work sub
worxhub,works up
worxhub,works hub
point click care
Lindsay Evans, lindsey evans
logger, lugger
metadata, meta data
appender
append
database, data base
sandbox, sand box
pull request, poll request
pull request, pool request
PR
localdev, local dev
failing, feeling
assign
JIRA, gera
error message, air message
then, than
cruft
properties, property's
TELS, tells
pipeline
pipelines
a merge
endpoints
TELS, company tells
back and forth
teamup, team up
install, and stall
kasa, casa
cache, cash
cached, cashed
middleware, middle ware
error type, air type
error message, air message
sync, sink
async, a sink
Gabe
console, consul
console, consol
